date,amount,vendor,classes
2025-08-09,42400.0,Ponmudi gas CDH,2
2025-08-16,16960.0,Ponmudi gas CDH,2
2025-08-14,42400.0,Ponmudi gas CDH,2
2025-08-18,8938.8,Milan Agencies,2
2025-08-10,9932.0,Milan Agencies,3
2025-08-12,9683.7,Milan Agencies,2
2025-08-13,11421.8,Milan Agencies,2
2025-08-15,8938.8,Milan Agencies,2
2025-08-11,8938.8,Milan Agencies,2
2025-08-14,8690.5,Milan Agencies,3
2025-08-16,8193.9,Milan Agencies,2
2025-08-17,7449.0,Milan Agencies,2
2025-08-11,184270.0,Rahul Stores CDH,2
2025-08-11,46325.0,Rahul Stores CDH,2
2025-08-11,37390.0,Rahul Stores CDH,2
2025-08-11,73830.0,Rahul Stores CDH,2
2025-08-16,101000.0,Amma vegetables cdh,2
2025-08-11,6174.0,Amma vegetables cdh,2
2025-08-12,91118.5,Amma vegetables cdh,2
2025-08-14,55329.0,Amma vegetables cdh,2
2025-08-15,86250.6,Amma vegetables cdh,2
2025-08-12,52910.0,Amma vegetables cdh,2
2025-08-18,6321.0,Amma vegetables cdh,2
2025-08-17,8120.0,Fahad Home Center CDH,3
2025-08-10,11120.0,Fahad Home Center CDH,3
2025-08-11,2138.0,Star Bakery /cafe,3
2025-08-09,4953.0,Star Bakery /cafe,3
2025-08-04,7516.0,Star Bakery /cafe,3
2025-08-15,1020.0,Dinu Bakery CDH,3
2025-08-15,9059.0,Dinu Bakery CDH,3
2025-08-15,12183.0,Dinu Bakery CDH,3
2025-08-12,14580.0,Amma vegetables cdh,3
2025-08-12,7338.0,priya Vegitables Chalai CAFE,1
2025-08-15,5657.0,priya Vegitables Chalai CAFE,1
2025-08-11,19904.0,Sabhalam Enterprises CAFE CDH,3
2025-08-11,8250.0,Gomathy Egg Stores CDH,3
2025-08-14,8400.0,Gomathy Egg Stores CDH,3
2025-08-11,8250.0,Gomathy Egg Stores CDH,3
2025-08-14,8400.0,Gomathy Egg Stores CDH,3
2025-08-16,25440.0,Ponmudi gas CDH,3
2025-08-12,25440.0,Ponmudi gas CDH,3
2025-08-09,25440.0,Ponmudi gas CDH,3
2025-08-04,5000.0,Star Bakery CDH,3
2025-08-18,28330.0,Fathima Chicken Vithura CDH,3
2025-08-11,23610.0,Fathima Chicken Vithura CDH,3
2025-08-14,28439.0,Fathima Chicken Vithura CDH,3
2025-08-12,7215.0,Dinu Bakery CDH,3
2025-08-12,3600.0,Dinu Bakery CDH,3
2025-08-13,7200.0,Dinu Bakery CDH,3
2025-08-16,8690.5,Milan Agencies,3
2025-08-15,8690.5,Milan Agencies,3
2025-08-14,8690.5,Milan Agencies,3
2025-08-09,7449.0,Milan Agencies,3
2025-08-10,9932.0,Milan Agencies,3
2025-08-11,7449.0,Milan Agencies,3
2025-08-18,3724.5,Milan Agencies,3
2025-08-17,11173.5,Milan Agencies,3
2025-08-12,9932.0,Milan Agencies,3
2025-08-13,8690.5,Milan Agencies,3
2025-08-12,49326.0,Priya Vegitables Chalai CDH,3
2025-08-15,73762.0,Priya Vegitables Chalai CDH,3
2025-08-13,1040.0,Magom Rice Flowermill CDH,3
2025-08-10,11120.0,Fahad Home Center CDH,3
2025-08-17,8120.0,Fahad Home Center CDH,3
2025-08-08,30220.0,Amma Vegitables cdh,3
2025-08-12,10826.0,Amma Vegitables cdh,3
2025-08-14,17750.0,Amma Vegitables cdh,3
2025-08-16,24280.0,Amma Vegitables cdh,3
2025-08-15,6272.0,Amma Vegitables cdh,3
2025-08-12,35545.0,Amma Vegitables cdh,3
2025-08-11,5684.0,Amma Vegitables cdh,3
2025-08-14,7627.0,Sabhalam enterprises CDH,3
2025-08-11,5870.0,Sabhalam enterprises CDH,3
2025-08-15,250.0,Cash Voucher CDH,2
2025-08-15,1160.0,Cash Voucher CDH,2
2025-08-17,1250.0,Cash Voucher CDH,2
2025-08-12,1200.0,Cash Voucher CDH,2
2025-08-17,1160.0,Cash Voucher CDH,2
2025-08-13,40.0,Cash Voucher CDH,2
2025-08-11,2300.0,Cash Voucher CDH,2
2025-08-11,640.0,Cash Voucher CDH,3
2025-08-09,500.0,Cash Voucher CDH,3
2025-08-14,3700.0,Cash Voucher CDH,2
2025-08-16,60.0,Cashvoucher /cafe,1
2025-08-18,300.0,Cashvoucher /cafe,1
2025-08-14,240.0,Cash Voucher CDH,3
2025-08-12,760.0,Cash Voucher CDH,3
2025-08-17,2060.0,Cash Voucher CDH,3
2025-08-15,760.0,Cash Voucher CDH,3
2025-08-09,500.0,Cash Voucher CDH,3
2025-08-17,100.0,Cash Voucher CDH,3
2025-08-11,640.0,Cash Voucher CDH,3
2025-08-13,30.0,Cash Voucher CDH,3
2025-08-08,4671.0,Cash Vaucher,4
2025-08-08,5000.0,Cash Vaucher,4
2025-08-08,5000.0,Cash Vaucher,4
2025-08-08,5000.0,Cash Vaucher,4
2025-08-08,5000.0,Cash Vaucher,4
2025-08-23,17720.0,Fahad Home Center CDH,3
2025-08-19,33920.0,Ponmudi gas CDH,3
2025-08-20,8643.0,Milan Agencies,3
2025-08-23,7449.0,Milan Agencies,2
2025-08-22,11031.0,Milan Agencies,2
2025-08-21,8881.8,Milan Agencies,2
2025-08-19,12272.5,Milan Agencies,2
2025-08-20,1280.0,Magom Rice&Flowermill CDH,2
2025-08-21,6340.0,Sabhalam enterprises CDH,2
2025-08-18,4970.0,Sabhalam enterprises CDH,2
2025-08-20,4550.0,Dinu Bakery CDH,2
2025-08-19,3200.0,Dinu Bakery CDH,2
2025-08-19,103555.0,Amma vegetables cdh,2
2025-08-20,36068.0,Amma vegetables cdh,2
2025-08-21,36865.0,Amma vegetables cdh,2
2025-08-22,80831.2,Amma vegetables cdh,2
2025-08-22,72860.0,Amma vegetables cdh,2
2025-08-18,520.0,magom rice flowermill cdh_1cafe,2
2025-08-21,3360.0,Sabhalam enterprises CDH,2
2025-08-18,3480.0,Sabhalam enterprises CDH,2
2025-08-19,8148.1,Amma vegetables cdh,2
2025-08-22,8053.0,Amma vegetables cdh,2
2025-08-21,1134.0,Dinu Bakery CDH,2
2025-08-21,6810.0,Sabhalam Enterprises CAFE CDH,3
2025-08-22,8550.0,Gomathy Egg Stores CDH,3
2025-08-22,5360.0,priya Vegitables Chalai CAFE,1
2025-08-19,3952.0,priya Vegitables Chalai CAFE,1
2025-08-19,33920.0,Ponmudi gas CDH,3
2025-08-21,8690.5,Milan Agencies,3
2025-08-23,8690.5,Milan Agencies,3
2025-08-20,8643.0,Milan Agencies,3
2025-08-19,9932.0,Milan Agencies,3
2025-08-22,7449.0,Milan Agencies,3
2025-08-20,1040.0,Magom Rice Flowermill CDH,3
2025-08-23,17720.0,Fahad Home Center CDH,3
2025-08-21,27716.0,Fathima Chicken Vithura CDH,3
2025-08-20,135390.0,Rahul Stores CDH,3
2025-08-20,33921.0,Rahul Stores CDH,3
2025-08-20,81810.0,Rahul Stores CDH,3
2025-08-18,6810.0,Sabhalam enterprises CDH,3
2025-08-21,17100.0,Gomathy Egg Stores CDH,3
2025-08-22,80861.0,Priya Vegitables Chalai CDH,3
2025-08-19,66959.0,Priya Vegitables Chalai CDH,3
2025-08-20,5600.0,Dinu Bakery CDH,3
2025-08-19,3400.0,Dinu Bakery CDH,3
2025-08-18,6272.0,Amma Vegitables cdh,3
2025-08-19,5831.0,Amma Vegitables cdh,3
2025-08-20,73915.0,Amma Vegitables cdh,3
2025-08-22,5292.0,Amma Vegitables cdh,3
2025-08-19,850.0,Cash Voucher CDH,3
2025-08-23,268.0,Cash Voucher CDH,2
2025-08-20,300.0,Cash Voucher CDH,2
2025-08-19,1350.0,Cash Voucher CDH,2
2025-08-18,2480.0,Cash Vaucher,4
2025-09-01,6820.0,Amma vegetables cdh-1,2
2025-09-01,5320.0,Dinu Bakery CDH-1 cafe,2
2025-09-02,12797.6,Milan Agencies-Milk-CDH-1,2
2025-08-30,8938.8,Milan Agencies-Milk-CDH-1,2
2025-09-01,8881.8,Milan Agencies-Milk-CDH-1,2
2025-09-01,34522.0,Fathima Chicken Vithura CDH-2,3
2025-09-01,6207.5,Milan Agencies-Milk-CDH-2,3
2025-09-01,3500.0,Cash Vaucher,4
2025-08-30,42400.0,Ponmudi gas CDH-1,2
2025-08-23,33920.0,Ponmudi gas CDH-1,2
2025-08-27,25440.0,Ponmudi gas CDH-1,2
2025-08-27,450.0,Cash Voucher CDH-2,3
2025-08-28,500.0,Cash Voucher CDH-2,3
2025-08-29,1000.0,Cash Voucher CDH-2,3
2025-08-29,650.0,Cash Voucher CDH-2,3
2025-08-20,1800.0,Cash Voucher CDH-2,3
2025-08-22,1000.0,Cash Voucher CDH-2,3
2025-08-26,1000.0,Cash Voucher CDH-2,3
2025-08-29,2160.0,cash voucher cdh-2 cafe,3
2025-09-11,61445.0,Amma vegetables cdh-1,2
2025-09-04,137595.0,Amma vegetables cdh-1,2
2025-09-02,89619.3,Amma vegetables cdh-1,2
2025-09-08,13410.0,Amma vegetables cdh-1,2
2025-09-09,65690.0,Amma vegetables cdh-1,2
2025-09-09,65407.5,Amma vegetables cdh-1,2
2025-09-06,29965.1,Amma vegetables cdh-1,2
2025-09-09,2600.0,Dinu Bakery CDH-1,2
2025-09-09,1836.0,Dinu Bakery CDH-1,2
2025-09-11,3240.0,Dinu Bakery CDH-1,2
2025-09-02,1600.0,Dinu Bakery CDH-1,2
2025-09-10,5400.0,Dinu Bakery CDH-1,2
2025-09-03,4550.0,Dinu Bakery CDH-1,2
2025-09-08,4970.0,Sabhalam enterprises CDH-1,2
2025-09-03,9439.0,Sabhalam enterprises CDH-1,2
2025-09-11,6340.0,Sabhalam enterprises CDH-1,2
2025-09-10,14040.0,Mani Stores CDH-1,2
2025-09-03,14040.0,Mani Stores CDH-1,2
2025-09-06,6952.4,Milan Agencies-Milk-CDH-1,2
2025-09-10,9818.0,Milan Agencies-Milk-CDH-1,2
2025-09-09,11250.8,Milan Agencies-Milk-CDH-1,2
2025-09-08,4469.4,Milan Agencies-Milk-CDH-1,2
2025-09-03,7831.6,Milan Agencies-Milk-CDH-1,2
2025-09-12,8442.2,Milan Agencies-Milk-CDH-1,2
2025-09-04,9359.4,Milan Agencies-Milk-CDH-1,2
2025-09-11,6952.4,Milan Agencies-Milk-CDH-1,2
2025-09-07,4966.0,Milan Agencies-Milk-CDH-1,2
2025-09-04,8820.0,Fahad Home Center CDH-1,2
2025-09-01,105656.0,Star Bakery CDH-1,2
2025-09-03,39935.0,Rahul Stores CDH-1,2
2025-09-03,113565.0,Rahul Stores CDH-1,2
2025-09-11,38795.0,Rahul Stores CDH-1,2
2025-09-03,152800.0,Rahul Stores CDH-1,2
2025-09-03,80800.0,Rahul Stores CDH-1,2
2025-09-10,1280.0,Magom Rice&Flowermill CDH-1,2
2025-09-03,1280.0,Magom Rice&Flowermill CDH-1,2
2025-09-07,3400.0,Ponnus pappadam CDH-1,2
2025-09-10,32900.0,Ponmudi gas CDH-1,2
2025-09-03,41125.0,Ponmudi gas CDH-1,2
2025-09-08,24675.0,Ponmudi gas CDH-1,2
2025-09-11,10540.0,Dinu Bakery CDH-2 cafe,3
2025-09-02,18312.0,Dinu Bakery CDH-2 cafe,3
